44586564,2021-03-21,2021-03-21,198
44586564,2021-03-29,2021-03-29,198
39542415,2021-03-29,2021-03-29,848
31871778,2021-03-29,2021-03-29,288
45810906,2021-03-29,2021-03-29,2000
40122286,2021-03-29,2021-03-29,498
17773772,2021-03-20,2021-03-20,450
35205784,2021-03-21,2021-03-21,218
42978594,2021-03-21,2021-03-21,145
42978594,2021-03-29,2021-03-29,145
38971783,2021-03-29,2021-03-29,2407
43208584,2021-03-29,2021-03-29,598
37768696,2021-03-29,2021-03-29,230
39563031,2021-03-21,2021-03-21,999
39563031,2021-03-29,2021-03-29,999
45693512,2021-03-29,2021-03-29,318
39547206,2021-03-29,2021-03-29,667
28525055,2021-03-20,2021-03-20,498
28525055,2021-03-21,2021-03-21,498
19791196,2021-03-29,2021-03-29,172
38981560,2021-03-29,2021-03-29,288
39208749,2021-03-29,2021-03-29,150
44528188,2021-03-29,2021-03-29,229
41284260,2021-03-29,2021-03-29,200
29037269,2021-03-29,2021-03-29,159
28789564,2021-03-29,2021-03-29,2333
24700716,2021-03-21,2021-03-21,280
36390012,2021-03-29,2021-03-29,328
39616317,2021-03-29,2021-03-29,166
20608348,2021-03-29,2021-03-29,238
45932112,2021-03-21,2021-03-21,780
45932112,2021-03-29,2021-03-29,780
34290240,2021-03-21,2021-03-21,980
20581658,2021-03-29,2021-03-29,238
22069979,2021-03-21,2021-03-21,8800
43949887,2021-03-29,2021-03-29,255
33762451,2021-03-21,2021-03-21,799
33764348,2021-03-21,2021-03-21,2799
43780885,2021-03-20,2021-03-20,11800
33758800,2021-03-21,2021-03-21,1199
33722193,2021-03-29,2021-03-29,1599
24938067,2021-03-29,2021-03-29,500
33722716,2021-03-21,2021-03-21,2799
35293410,2021-03-29,2021-03-29,183
46494573,2021-03-21,2021-03-21,258
46494573,2021-03-29,2021-03-29,258
3289030,2021-03-21,2021-03-21,288
37146866,2021-03-29,2021-03-29,358
20196879,2021-03-29,2021-03-29,625
24200415,2021-03-29,2021-03-29,149
37263804,2021-03-20,2021-03-20,983
38946903,2021-03-21,2021-03-21,570
38946903,2021-03-29,2021-03-29,570
37661467,2021-03-29,2021-03-29,611
46306485,2021-03-29,2021-03-29,288
33607246,2021-03-20,2021-03-20,288
37268956,2021-03-29,2021-03-29,826
25872107,2021-03-21,2021-03-21,450
17986076,2021-03-29,2021-03-29,800
16484978,2021-03-29,2021-03-29,611
46991447,2021-03-21,2021-03-21,85
46991447,2021-03-29,2021-03-29,85
36951008,2021-03-29,2021-03-29,130
35955812,2021-03-29,2021-03-29,158
45756723,2021-03-29,2021-03-29,258
45641064,2021-03-29,2021-03-29,429
43884439,2021-03-29,2021-03-29,335
43162941,2021-03-29,2021-03-29,278
39689903,2021-03-29,2021-03-29,400
27521945,2021-03-29,2021-03-29,268
31659617,2021-03-29,2021-03-29,290
43169129,2021-03-29,2021-03-29,200
43966367,2021-03-29,2021-03-29,210
29869211,2021-03-29,2021-03-29,400
44094445,2021-03-29,2021-03-29,258
45472014,2021-03-29,2021-03-29,288
45472397,2021-03-20,2021-03-20,428
45472397,2021-03-29,2021-03-29,288
43162719,2021-03-29,2021-03-29,300
43166442,2021-03-29,2021-03-29,300
44094692,2021-03-29,2021-03-29,258
29694003,2021-03-29,2021-03-29,288
43966257,2021-03-29,2021-03-29,220
40354012,2021-03-29,2021-03-29,580
28002627,2021-03-29,2021-03-29,288
45135795,2021-03-29,2021-03-29,259
38480606,2021-03-29,2021-03-29,190
18028276,2021-03-29,2021-03-29,10800
43315670,2021-03-21,2021-03-21,100
40549690,2021-03-29,2021-03-29,248
39575386,2021-03-29,2021-03-29,1800
35593192,2021-03-21,2021-03-21,1300
35703473,2021-03-29,2021-03-29,2699
43135520,2021-03-29,2021-03-29,1999
23470497,2021-03-29,2021-03-29,1580
43254717,2021-03-29,2021-03-29,220
38589707,2021-03-29,2021-03-29,2999
27863929,2021-03-29,2021-03-29,358
21643713,2021-03-21,2021-03-21,15000
44483293,2021-03-29,2021-03-29,4200
23110192,2021-03-21,2021-03-21,2999
23110192,2021-03-29,2021-03-29,2999
32818294,2021-03-21,2021-03-21,368
33125342,2021-03-29,2021-03-29,368
38553892,2021-03-29,2021-03-29,880
38554702,2021-03-21,2021-03-21,880
23928325,2021-03-29,2021-03-29,458
33826350,2021-03-21,2021-03-21,450
46759473,2021-03-21,2021-03-21,649
46759473,2021-03-29,2021-03-29,654
43452649,2021-03-29,2021-03-29,458
29274007,2021-03-29,2021-03-29,298
30526714,2021-03-29,2021-03-29,358
27449986,2021-03-21,2021-03-21,488
27449986,2021-03-29,2021-03-29,488
17296168,2021-03-21,2021-03-21,760
17296168,2021-03-29,2021-03-29,760
36884338,2021-03-29,2021-03-29,7000
19789745,2021-03-29,2021-03-29,368
27937310,2021-03-29,2021-03-29,688
43483363,2021-03-29,2021-03-29,329
22074762,2021-03-29,2021-03-29,850
46689926,2021-03-29,2021-03-29,650
34306787,2021-03-29,2021-03-29,298
21184091,2021-03-29,2021-03-29,392
24985643,2021-03-20,2021-03-20,88
42898074,2021-03-21,2021-03-21,245
34520433,2021-03-21,2021-03-21,858
21854291,2021-03-20,2021-03-20,799
32415243,2021-03-29,2021-03-29,150
35656477,2021-03-21,2021-03-21,298
35656477,2021-03-29,2021-03-29,298
46072563,2021-03-29,2021-03-29,336
35538020,2021-03-29,2021-03-29,468
35566450,2021-03-29,2021-03-29,468
38554154,2021-03-20,2021-03-20,298
34478192,2021-03-29,2021-03-29,3500
35722565,2021-03-29,2021-03-29,568
37900676,2021-03-21,2021-03-21,154
20973275,2021-03-20,2021-03-20,999
38908923,2021-03-29,2021-03-29,600
39260190,2021-03-21,2021-03-21,399
39260190,2021-03-29,2021-03-29,399
40897350,2021-03-29,2021-03-29,538
44097978,2021-03-29,2021-03-29,338
21739941,2021-03-29,2021-03-29,498
20984604,2021-03-29,2021-03-29,788
38917412,2021-03-29,2021-03-29,1114
45899626,2021-03-20,2021-03-20,284
40141473,2021-03-21,2021-03-21,428
40141473,2021-03-29,2021-03-29,428
40710858,2021-03-29,2021-03-29,369
41043214,2021-03-29,2021-03-29,448
41057862,2021-03-29,2021-03-29,389
43270027,2021-03-29,2021-03-29,438
40351021,2021-03-29,2021-03-29,498
40852868,2021-03-29,2021-03-29,339
40915770,2021-03-29,2021-03-29,349
38653143,2021-03-29,2021-03-29,398
39855175,2021-03-29,2021-03-29,299
40914917,2021-03-29,2021-03-29,339
43055642,2021-03-29,2021-03-29,349
31866879,2021-03-29,2021-03-29,388
43055587,2021-03-29,2021-03-29,349
41013740,2021-03-21,2021-03-21,318
39678829,2021-03-29,2021-03-29,478
17359083,2021-03-29,2021-03-29,335
39192110,2021-03-20,2021-03-20,900
42839168,2021-03-29,2021-03-29,300
19576249,2021-03-29,2021-03-29,1108
37725755,2021-03-29,2021-03-29,498
27992776,2021-03-29,2021-03-29,288
37928468,2021-03-21,2021-03-21,689
37928468,2021-03-29,2021-03-29,689
38809642,2021-03-29,2021-03-29,339
29978656,2021-03-20,2021-03-20,466
