listingid,fetch_date,order_date,price,rented
1807848,2021-03-06,2021-05-05,248,True
32008109,2021-04-22,2021-05-05,796,True
31999886,2021-03-05,2021-05-05,580,True
31998674,2021-03-05,2021-05-05,588,True
34009240,2021-03-27,2021-05-05,216,True
34008097,2021-03-27,2021-05-05,216,True
34008057,2021-03-27,2021-05-05,216,True
33941553,2021-03-05,2021-05-05,301,True
35449115,2021-03-27,2021-05-05,750,True
35449115,2021-03-27,2021-05-05,750,True
35371525,2021-03-05,2021-05-05,358,True
35409723,2021-03-05,2021-05-05,1190,True
36907510,2021-04-22,2021-05-05,299,True
36966946,,2021-05-05,399,False
36901596,2021-05-04,2021-05-05,599,True
36901417,2021-03-24,2021-05-05,98,True
38272901,2021-04-30,2021-05-05,208,True
38269337,,2021-05-05,517,False
39324780,2021-03-05,2021-05-05,618,True
39409656,,2021-05-05,168,False
39468854,2021-04-26,2021-05-05,428,True
40101206,,2021-05-05,338,False
40243005,2021-05-05,2021-05-05,393,True
40316037,2021-03-05,2021-05-05,459,True
11567267,2021-03-27,2021-05-05,320,True
11504576,2021-03-06,2021-05-05,268,True
12866327,,2021-05-05,699,False
12573681,2021-04-26,2021-05-05,588,True
12614089,2021-03-27,2021-05-05,398,True
19267536,,2021-05-05,668,False
20095956,2021-03-06,2021-05-05,298,True
20098119,2021-03-06,2021-05-05,490,True
24504325,2021-03-27,2021-05-05,368,True
27969693,2021-03-05,2021-05-05,390,True
27968612,2021-04-17,2021-05-05,388,True
27966324,2021-03-27,2021-05-05,429,True
27913956,2021-03-27,2021-05-05,288,True
31506447,2021-04-08,2021-05-05,231,True
33653011,2021-04-20,2021-05-05,469,True
35887794,2021-03-22,2021-05-05,590,True
36430079,2021-03-27,2021-05-05,204,True
36425755,2021-03-05,2021-05-05,200,True
36425883,2021-03-27,2021-05-05,262,True
37579809,2021-03-05,2021-05-05,337,True
37571916,,2021-05-05,698,False
37835732,2021-05-02,2021-05-05,438,True
38890099,2021-05-01,2021-05-05,463,True
40574116,2021-05-05,2021-05-05,128,True
40582686,,2021-05-05,500,False
40572971,2021-05-01,2021-05-05,688,True
40595510,2021-03-05,2021-05-05,980,True
40568529,,2021-05-05,135,False
41879181,2021-03-16,2021-05-05,499,True
43547031,,2021-05-05,559,False
43528076,2021-04-19,2021-05-05,130,True
43644849,,2021-05-05,240,False
45294551,2021-03-24,2021-05-05,328,True
45267141,,2021-05-05,598,False
45292009,,2021-05-05,288,False
45278084,2021-05-01,2021-05-05,499,True
45276416,2021-03-04,2021-05-05,188,True
46903019,2021-04-20,2021-05-05,379,True
46884611,2021-03-04,2021-05-05,610,True
46687950,,2021-05-05,399,False
47147086,,2021-05-05,170,False
47103813,2021-03-04,2021-05-05,849,True
47103812,2021-03-04,2021-05-05,849,True
47082725,2021-04-04,2021-05-05,1018,True
47081987,,2021-05-05,500,False
47062211,,2021-05-05,328,False
47061878,2021-04-17,2021-05-05,358,True
47043811,2021-04-29,2021-05-05,319,True
47045812,2021-03-04,2021-05-05,350,True
47045148,,2021-05-05,186,False
47051892,,2021-05-05,488,False
47056786,2021-05-05,2021-05-05,170,True
47038985,2021-05-05,2021-05-05,388,True
47037853,2021-03-04,2021-05-05,100,True
47018833,,2021-05-05,998,False
47014128,,2021-05-05,590,False
47016399,2021-04-13,2021-05-05,688,True
46997818,,2021-05-05,500,False
46998621,,2021-05-05,608,False
46998729,,2021-05-05,4988,False
47000120,,2021-05-05,999,False
46990750,,2021-05-05,400,False
46991667,2021-03-04,2021-05-05,849,True
46974594,,2021-05-05,499,False
46976408,,2021-05-05,300,False
46976815,2021-05-05,2021-05-05,1088,True
46980166,,2021-05-05,263,False
46980082,,2021-05-05,250,False
46979746,2021-05-01,2021-05-05,248,True
46953870,,2021-05-05,588,False
46951898,,2021-05-05,499,False
46952152,2021-03-14,2021-05-05,529,True
46952583,2021-03-04,2021-05-05,962,True
46952585,2021-03-04,2021-05-05,962,True
46952695,2021-03-04,2021-05-05,698,True
46952696,2021-03-04,2021-05-05,698,True
46932305,2021-03-04,2021-05-05,605,True
46930414,,2021-05-05,999,False
46907109,2021-04-16,2021-05-05,1008,True
46907322,,2021-05-05,908,False
46907851,,2021-05-05,1111,False
46888060,,2021-05-05,3600,False
46885128,,2021-05-05,918,False
46885438,,2021-05-05,1375,False
46885909,2021-04-10,2021-05-05,2000,True
46885909,2021-04-10,2021-05-05,2000,True
46884617,2021-03-04,2021-05-05,610,True
46885476,,2021-05-05,959,False
46860101,,2021-05-05,200,False
46860528,2021-05-05,2021-05-05,298,True
46862534,,2021-05-05,560,False
46860038,,2021-05-05,715,False
46858359,,2021-05-05,786,False
46820429,,2021-05-05,367,False
46799113,2021-03-04,2021-05-05,424,True
46779157,,2021-05-05,450,False
46784904,,2021-05-05,388,False
46784262,2021-05-02,2021-05-05,457,True
46782853,,2021-05-05,688,False
46783458,,2021-05-05,480,False
46766008,2021-03-20,2021-05-05,880,True
46756464,,2021-05-05,550,False
46758891,,2021-05-05,650,False
46759375,,2021-05-05,359,False
46760719,,2021-05-05,758,False
46761158,,2021-05-05,450,False
46759518,,2021-05-05,400,False
46739187,2021-04-18,2021-05-05,588,True
46721008,,2021-05-05,608,False
46713568,,2021-05-05,368,False
46714682,2021-03-04,2021-05-05,528,True
46714750,,2021-05-05,488,False
46699147,2021-03-26,2021-05-05,558,True
46658123,,2021-05-05,300,False
46663415,2021-03-04,2021-05-05,147,True
46663939,,2021-05-05,716,False
46648337,2021-03-11,2021-05-05,1275,True
46649425,,2021-05-05,258,False
46649307,,2021-05-05,238,False
46652250,,2021-05-05,258,False
