listingid,Lat,Lng,title,formatted_address,url
27968612,31.2004600000,121.4559400000,中山医院/肿瘤医院/瑞金医院/大床房,上海市徐汇区枫林路街道清枫大楼,https://www.airbnb.cn/rooms/27968612
27966324,31.2069900000,121.4519000000,法国梧桐下面的老洋房，靠近桃江路衡山路酒吧一条街，衡山路地铁1千米。,上海市徐汇区天平路街道岳阳路110号公安部第三研究所安全防范与信息安全产品及系统检验实验室,https://www.airbnb.cn/rooms/27966324
27913956,31.1952300000,121.4568500000,温馨家园,上海市徐汇区枫林路街道金星苑,https://www.airbnb.cn/rooms/27913956
31506447,31.2160600000,121.4498300000,武康路长乐路上音上戏衡山路淮海路静安寺日式极简弄堂三层复式投影市中心,上海市徐汇区湖南路街道瑞华公寓华亭公寓(华亭路),https://www.airbnb.cn/rooms/31506447
33653011,31.2078400000,121.4618700000,老洋房LOFT，近地铁口/1、9、10、12号线、淮海中路/南京东路/外滩/新天地/田子坊/衡山路,上海市徐汇区天平路街道嘉善公寓,https://www.airbnb.cn/rooms/33653011
35887794,31.1841000000,121.4366600000,『少年锦时』1/4号线地铁上海体育馆步行3min，近徐家汇丨飞洲国际中心丨上海大舞台丨地铁直达迪士尼,上海市徐汇区徐家汇街道花苑自助餐厅(暂停营业)华亭宾馆,https://www.airbnb.cn/rooms/35887794
36430079,31.1793800000,121.4510400000,方隅徐汇滨江店xa0,上海市徐汇区龙华街道福明缘花梨紫檀馆,https://www.airbnb.cn/rooms/36430079
36425755,31.1220300000,121.4596500000,徐汇滨江（外环边）小两室户，三面公园一面临江，周边生活交通便利，一站直达徐家汇，东体，龙湖天街隔壁,上海市徐汇区华泾镇东湾小区,https://www.airbnb.cn/rooms/36425755
36425883,31.1970900000,121.4272800000,近地铁 交大附近，温馨舒适 工作 短休 旅游 小住 拎包入住 人来了就好，其他交给我们～,上海市徐汇区徐家汇街道番禺文化广场,https://www.airbnb.cn/rooms/36425883
37579809,31.1985500000,121.4274400000,鹿头舍×白日梦红-清凉惬意 魔都中心轴 交通大学地铁站步行8分钟 L10&11 直达迪士尼,上海市徐汇区徐家汇街道番禺小区,https://www.airbnb.cn/rooms/37579809
37571916,31.1916300000,121.4522700000,朴清幽|龙华医院/南洋中学/肿瘤医院隔壁小区～精致两房,上海市徐汇区枫林路街道复旦大学放射医学研究所上海放射医学专科门诊部复旦大学附属肿瘤医院,https://www.airbnb.cn/rooms/37571916
37835732,31.1910800000,121.4535500000,肿瘤医院隔壁的家属陪护大床房可住二到四个人,上海市徐汇区枫林路街道振兴小区(斜土路)东安路230弄小区,https://www.airbnb.cn/rooms/37835732
38890099,31.2060800000,121.4611200000,【一宿·yī sù·C3】月租 网红店铺 近田子坊 环贸iapm  近地铁 首批开放试点运营民宿,上海市徐汇区天平路街道嘉善路嘉御庭1期,https://www.airbnb.cn/rooms/38890099
40574116,31.1818400000,121.4454200000,# 北欧风#舒适阁楼+近地铁4、11号线地铁口 可做饭,上海市徐汇区枫林路街道中山苑,https://www.airbnb.cn/rooms/40574116
40582686,31.2062800000,121.4448000000,小花园 Le Petit Jardin - 法式花园建筑/徐家汇中心淮海路上海图书馆旁距地铁100米,上海市徐汇区天平路街道淮海中路1555号上海图书馆,https://www.airbnb.cn/rooms/40582686
40572971,31.2115600000,121.4453100000,‹梦回上海1930，复兴西路› 超大投影 拍摄写真 卫生消毒 安心入住,上海市徐汇区湖南路街道乌鲁木齐中路310-4号为乐公寓,https://www.airbnb.cn/rooms/40572971
40595510,31.2122200000,121.4493300000,可长租【星洛居*蓝公馆】淮海中路老洋房1/7号地铁*新天地*田子坊*思南公馆*打浦桥,上海市徐汇区湖南路街道愉园复兴西路洋房,https://www.airbnb.cn/rooms/40595510
40568529,31.1883600000,121.4652200000,上海徐汇中心地带4000元起精装一室户，风格清新舒适拎包入住，健身娱乐场所一应俱全,上海市徐汇区斜土路街道龙华中路152号,https://www.airbnb.cn/rooms/40568529
43547031,31.1569300000,121.4267500000,上海南站北广场，锦江乐园，简约宜家风2居,上海市徐汇区漕河泾街道沪闵路上海南站,https://www.airbnb.cn/rooms/43547031
43528076,31.1328100000,121.4458600000,长桥温馨舒适小房间,上海市徐汇区长桥街道罗秀新村罗秀二村,https://www.airbnb.cn/rooms/43528076
43644849,31.1667800000,121.4430500000,12号线龙漕路高品质江景房，长租价格优惠，拎包入住,上海市徐汇区漕河泾街道龙吴路127号馨汇南苑,https://www.airbnb.cn/rooms/43644849
45294551,31.1860000000,121.4322700000,徐家汇/人民广场/万体馆/迪士尼/超大双人床，超大客厅，原木风家居，欢迎一起小狗撸🐶喝小酒🍷,上海市徐汇区徐家汇街道文定生活,https://www.airbnb.cn/rooms/45294551
45267141,31.1976700000,121.4558000000,中山医院/肿瘤医院/外滩,上海市徐汇区枫林路街道清真路住宅小区,https://www.airbnb.cn/rooms/45267141
45292009,31.1915800000,121.4545700000,4号线东安路 独门独卫独厨私享 精装大床房 干净卫生,上海市徐汇区枫林路街道东安路上海利园国际大酒店,https://www.airbnb.cn/rooms/45292009
45278084,31.1888000000,121.4429900000,徐家汇/万体馆/63平米/靠近地铁站/周围环境好/魔都闹市中的静溢之家,上海市徐汇区徐家汇街道嘉汇国际广场A栋,https://www.airbnb.cn/rooms/45278084
45276416,31.2094400000,121.4584700000,嘉善路永嘉路10号线｜9号线｜12号线｜1号线音乐学院附近loft温暖小屋长租优惠,上海市徐汇区天平路街道甘村131弄小区,https://www.airbnb.cn/rooms/45276416
46903019,31.2028800000,121.4461100000,old house and new soul｜ins风｜法.租界｜徐家汇衡山路｜复古老洋房｜法式风格,上海市徐汇区天平路街道吴兴公寓西湖公寓,https://www.airbnb.cn/rooms/46903019
46884611,31.2124700000,121.4444200000,老上海洋房丨魔都网红街丨私人影院露天温泉,上海市徐汇区湖南路街道五福家居五原路252弄1-18号,https://www.airbnb.cn/rooms/46884611
46687950,31.1642300000,121.4270000000,【圆圆的轻纱漫舞】可住2人，可做饭/有投影仪，近地铁1/12号地铁，近光大会展/日月光/第八人民医院,上海市徐汇区康健新村街道柳州路234号康健园,https://www.airbnb.cn/rooms/46687950
47082725,31.2020900000,121.4499500000,【魔屋Mroom】№ 528阁楼-秘密空间，优秀历史建筑，西班牙老洋房,上海市徐汇区天平路街道建国西路570号徐汇区机关建国幼儿园总部,https://www.airbnb.cn/rooms/47082725
47081987,31.1715900000,121.4401200000,【新房特惠】时尚简约风 一室一厅，3号线曹溪地铁站+上海游泳馆+消毒安心～～徐家汇～美罗城～港汇～,上海市徐汇区漕河泾街道华南公寓华南公寓(田东路),https://www.airbnb.cn/rooms/47081987
47062211,31.1397800000,121.4195400000,住进大HOUSE｜宽敞空间LOFT家庭房 近上海南站 地铁一号线 华东理工 锦江乐园 闺蜜出游可做饭,上海市徐汇区凌云路街道梅陇四村,https://www.airbnb.cn/rooms/47062211
47061878,31.1696600000,121.4454000000,徐汇区单身公寓，价格实惠，欢迎体验,上海市徐汇区漕河泾街道龙吴路91号,https://www.airbnb.cn/rooms/47061878
47043811,31.1664400000,121.4433700000,带露台小河边静谧阳光房,上海市徐汇区漕河泾街道龙吴路格乐利雅婚礼艺术中心(徐汇店),https://www.airbnb.cn/rooms/47043811
47045812,31.2035200000,121.4474800000,高安路老洋房LOFT独立一套，靠近1号线衡山路、10号线上海图书馆、9号线肇嘉浜路,上海市徐汇区天平路街道吴兴公寓高安路50弄小区,https://www.airbnb.cn/rooms/47045812
47045148,31.1962900000,121.4634200000,咖啡茶道场,上海市徐汇区斜土路街道四明小区,https://www.airbnb.cn/rooms/47045148
47051892,31.2131000000,121.4500200000,地铁0距离，淮海中路华亭路，上方花园，西班牙花园洋房，幽静舒适，套内独用卫浴，户外超大花园,上海市徐汇区湖南路街道华亭路93弄小区,https://www.airbnb.cn/rooms/47051892
47056786,31.1666700000,121.4431000000,徐汇龙漕路IKEA日月光周边地铁3、12号线 一室studio小资房,上海市徐汇区漕河泾街道龙吴路申懋商务中心,https://www.airbnb.cn/rooms/47056786
47038985,31.1944400000,121.4515800000,｜祝我佳｜A1 上海肿瘤医院 中山医院 东安路地铁站附近朝南一居,上海市徐汇区枫林路街道东安路东安路230弄小区,https://www.airbnb.cn/rooms/47038985
47037853,31.1469400000,121.4153700000,爱心驿站/仅接待男生入住/上海南站/丁香园1房1厅1厨1卫.单人床/低楼层/附休闲保养设施。,上海市徐汇区康健新村街道玉兰园丁香园,https://www.airbnb.cn/rooms/47037853
47018833,31.1847400000,121.4504900000,[陇上江南] 近龙华医院、精神卫生中心，肿瘤医院、4/7号线地铁直达,上海市徐汇区枫林路街道东安四村,https://www.airbnb.cn/rooms/47018833
47014128,31.2091100000,121.4410500000,设计师系列-武康路上的阳光露台小公寓,上海市徐汇区湖南路街道湖南路264号湖南别墅,https://www.airbnb.cn/rooms/47014128
47016399,31.2137400000,121.4602300000,【淮海中路】显卡2060电竞黑房/近陕西南路地铁站/ipam环贸广场/新天地/田子坊/打浦桥日月光,上海市徐汇区湖南路街道新安坊,https://www.airbnb.cn/rooms/47016399
46998621,31.1901400000,121.4540600000,徐家汇/肿瘤医院/龙华医院/中山医院/4/7号线地铁口 整租一室 可住4人 2楼,上海市徐汇区枫林路街道东安路复旦大学附属肿瘤医院,https://www.airbnb.cn/rooms/46998621
46998729,31.1999400000,121.4578700000,【法式宫廷】近百万豪装/适合拍照，楼下地铁 /田子坊、日月光、中山医院、港汇广场，美罗城,上海市徐汇区斜土路街道凯悦公寓,https://www.airbnb.cn/rooms/46998729
47000120,31.1875200000,121.4353200000,徐家汇温馨电梯四房可住八—十人 有阳光屋 可聚会团建25人 上海电影集团对面 徐家汇地铁站步行4分钟,上海市徐汇区徐家汇街道漕溪北路400号上海市信息管理学校蒲汇塘校区,https://www.airbnb.cn/rooms/47000120
46990750,31.1755500000,121.4410900000,精装修一房 拎包入住 与上海体育馆为邻,上海市徐汇区漕河泾街道龙华西路547号明佳苑,https://www.airbnb.cn/rooms/46990750
46974594,31.1631800000,121.4307200000,【圆圆的】可住2人/可做饭/有投影仪，近光大会展/日月光/上海师范/八院/六院，地铁1/12号线,上海市徐汇区漕河泾街道钦州南路梓树园,https://www.airbnb.cn/rooms/46974594
