listingid,fetch_date,order_date,price,rented
46518683,2021-04-09,2021-05-06,378,True
46516847,,2021-05-06,339,False
46516882,,2021-05-06,418,False
46514700,2021-04-13,2021-05-06,328,True
46513562,,2021-05-06,498,False
46513706,,2021-05-06,288,False
46493296,,2021-05-06,498,False
46462717,2021-04-07,2021-05-06,148,True
46438284,2021-03-21,2021-05-06,249,True
46420337,,2021-05-06,600,False
46435423,2021-05-06,2021-05-06,333,True
46435423,2021-05-06,2021-05-06,333,True
46419476,2021-04-24,2021-05-06,428,True
46435160,2021-04-16,2021-05-06,588,True
46421470,2021-05-06,2021-05-06,590,True
46408020,2021-05-06,2021-05-06,780,True
46390262,,2021-05-06,450,False
46379716,2021-04-30,2021-05-06,566,True
46400865,,2021-05-06,400,False
46383390,2021-04-27,2021-05-06,288,True
46385168,,2021-05-06,650,False
46329654,2021-03-04,2021-05-06,1388,True
46344253,2021-03-04,2021-05-06,338,True
46304198,,2021-05-06,220,False
46304100,,2021-05-06,150,False
46300086,2021-05-06,2021-05-06,398,True
46299897,2021-03-28,2021-05-06,458,True
46264656,2021-05-06,2021-05-06,499,True
46282976,,2021-05-06,680,False
46228568,2021-04-10,2021-05-06,248,True
46230041,,2021-05-06,218,False
46204633,,2021-05-06,499,False
46206704,2021-03-16,2021-05-06,278,True
46207619,2021-03-04,2021-05-06,959,True
46209146,2021-04-09,2021-05-06,498,True
46225148,2021-04-06,2021-05-06,408,True
46207605,2021-03-04,2021-05-06,1019,True
46207960,2021-04-16,2021-05-06,558,True
46171253,,2021-05-06,546,False
46184190,2021-05-05,2021-05-06,568,True
46183999,2021-04-26,2021-05-06,588,True
46181898,2021-05-06,2021-05-06,328,True
46161042,2021-05-06,2021-05-06,350,True
46163151,,2021-05-06,350,False
46143127,2021-03-29,2021-05-06,240,True
46143332,,2021-05-06,288,False
46143737,,2021-05-06,400,False
46126240,,2021-05-06,300,False
46113267,2021-05-06,2021-05-06,299,True
46129498,,2021-05-06,499,False
46129268,2021-04-07,2021-05-06,299,True
46110519,,2021-05-06,208,False
46110368,,2021-05-06,238,False
46093857,2021-04-22,2021-05-06,405,True
46076265,2021-04-13,2021-05-06,338,True
46078151,2021-05-04,2021-05-06,2200,True
46040797,,2021-05-06,334,False
46043398,,2021-05-06,333,False
46043524,,2021-05-06,433,False
46058268,2021-05-06,2021-05-06,579,True
46043786,,2021-05-06,699,False
46058467,,2021-05-06,679,False
46027863,,2021-05-06,285,False
46016047,2021-03-09,2021-05-06,757,True
46016098,2021-03-08,2021-05-06,650,True
46016426,2021-03-04,2021-05-06,720,True
46032643,2021-03-28,2021-05-06,476,True
46003011,,2021-05-06,799,False
46003354,,2021-05-06,225,False
46003480,2021-05-06,2021-05-06,579,True
45978513,2021-03-31,2021-05-06,458,True
45989104,,2021-05-06,305,False
45981250,,2021-05-06,137,False
45977256,,2021-05-06,799,False
45981138,,2021-05-06,389,False
45979936,2021-03-04,2021-05-06,388,True
45962400,2021-04-29,2021-05-06,258,True
45961198,2021-04-07,2021-05-06,208,True
45922742,,2021-05-06,286,False
45945502,,2021-05-06,650,False
45931083,2021-03-04,2021-05-06,298,True
45935145,2021-04-27,2021-05-06,1298,True
45902311,2021-03-24,2021-05-06,334,True
45915114,2021-05-06,2021-05-06,236,True
45907681,2021-03-04,2021-05-06,230,True
45905530,,2021-05-06,200,False
45908454,2021-04-18,2021-05-06,198,True
45908137,2021-04-09,2021-05-06,647,True
45890218,2021-05-04,2021-05-06,409,True
45891262,2021-04-22,2021-05-06,480,True
45874830,,2021-05-06,480,False
45886788,,2021-05-06,250,False
45885745,2021-04-22,2021-05-06,288,True
45867330,2021-05-06,2021-05-06,267,True
45871969,,2021-05-06,209,False
45871439,2021-04-08,2021-05-06,248,True
45855535,2021-03-04,2021-05-06,428,True
45856307,2021-04-16,2021-05-06,1000,True
45857221,,2021-05-06,180,False
45839368,2021-03-30,2021-05-06,426,True
45831191,,2021-05-06,188,False
45819719,2021-03-04,2021-05-06,889,True
45830751,2021-05-06,2021-05-06,206,True
45782253,2021-03-10,2021-05-06,296,True
45788055,2021-05-06,2021-05-06,518,True
45788736,2021-05-04,2021-05-06,971,True
45778290,2021-05-06,2021-05-06,197,True
45778032,,2021-05-06,438,False
45759369,2021-04-28,2021-05-06,292,True
45745565,2021-04-30,2021-05-06,358,True
45757291,,2021-05-06,389,False
45757217,,2021-05-06,400,False
45757437,2021-04-09,2021-05-06,229,True
45758152,2021-05-02,2021-05-06,188,True
45758403,,2021-05-06,488,False
45729681,2021-04-22,2021-05-06,468,True
45725196,2021-04-06,2021-05-06,688,True
45728105,,2021-05-06,399,False
45697212,2021-05-04,2021-05-06,265,True
45704856,2021-03-04,2021-05-06,288,True
45703835,2021-04-30,2021-05-06,262,True
45691263,2021-03-14,2021-05-06,568,True
45692012,2021-03-14,2021-05-06,568,True
45693538,2021-05-06,2021-05-06,235,True
45693848,,2021-05-06,234,False
45693728,,2021-05-06,200,False
45677772,2021-03-04,2021-05-06,350,True
45680161,2021-05-04,2021-05-06,568,True
45650741,2021-03-04,2021-05-06,855,True
45650996,,2021-05-06,356,False
45641268,,2021-05-06,450,False
45641612,,2021-05-06,1388,False
45644318,2021-03-24,2021-05-06,500,True
45625999,,2021-05-06,999,False
45618702,,2021-05-06,498,False
45609814,2021-05-06,2021-05-06,458,True
45609911,2021-05-06,2021-05-06,458,True
45601623,,2021-05-06,249,False
45602219,,2021-05-06,220,False
45591862,,2021-05-06,628,False
45592168,,2021-05-06,368,False
45591795,,2021-05-06,439,False
45587575,,2021-05-06,888,False
45569818,2021-03-14,2021-05-06,557,True
45570434,2021-03-14,2021-05-06,557,True
45552276,2021-04-18,2021-05-06,398,True
45552382,2021-03-14,2021-05-06,450,True
45553097,2021-05-04,2021-05-06,557,True
45553855,2021-03-14,2021-05-06,557,True
45552629,2021-03-16,2021-05-06,450,True
45550847,2021-05-04,2021-05-06,558,True
45550847,2021-05-04,2021-05-06,558,True
45540694,2021-04-06,2021-05-06,119,True
45534101,2021-04-21,2021-05-06,400,True
45531757,2021-04-22,2021-05-06,888,True
45525437,2021-05-04,2021-05-06,628,True
45512632,,2021-05-06,366,False
45519112,,2021-05-06,499,False
45508356,,2021-05-06,780,False
45491267,2021-03-14,2021-05-06,680,True
45491519,2021-03-14,2021-05-06,680,True
45491640,2021-03-14,2021-05-06,598,True
45492447,2021-04-06,2021-05-06,455,True
45497675,,2021-05-06,300,False
45497878,,2021-05-06,486,False
45485175,,2021-05-06,588,False
45487026,,2021-05-06,205,False
45489325,2021-03-11,2021-05-06,256,True
45474779,2021-04-30,2021-05-06,190,True
45476036,2021-04-27,2021-05-06,209,True
45464802,2021-04-27,2021-05-06,190,True
45472809,2021-04-30,2021-05-06,368,True
45471439,,2021-05-06,400,False
45458947,,2021-05-06,528,False
45460801,,2021-05-06,266,False
45448743,,2021-05-06,119,False
45456240,,2021-05-06,350,False
45440751,2021-05-06,2021-05-06,359,True
45428006,,2021-05-06,800,False
45424735,,2021-05-06,500,False
45413482,,2021-05-06,300,False
